model,cutoff_layer,n_observed_layers,observed_layers,n_train,n_test,n_test_graphs,r2,r2_ci_low,r2_ci_high,mae,boundary_auroc,boundary_auroc_ci_low,boundary_auroc_ci_high,order_null_r2_mean,order_null_r2_q95,real_r2_vs_order_null_z,real_r2_exceeds_order_null_q95,is_earliest_order_informative_cutoff
gemma,18,1,18,670,290,29,0.5458895241313706,0.4609579639545421,0.608085885084745,0.9976834065553616,0.9139417360285376,0.8886592592255629,0.9478031157528108,,,,False,False
gemma,19,2,18;19,670,290,29,0.5594440225434738,0.4736984919596935,0.6315137085517417,0.9774581574196508,0.9122324613555292,0.8845380114718125,0.9428068365432484,,,,False,False
gemma,20,3,18;19;20,670,290,29,0.5538720829164888,0.4195578458409811,0.6588022484806615,0.9762625792755882,0.9569708680142688,0.9260145279630984,0.9818702637564092,0.5506410544234701,0.5555677445727536,0.967511446810159,False,False
gemma,21,4,18;19;20;21,670,290,29,0.7137805890078288,0.652110943519966,0.763473722190967,0.7800007287964859,0.9835760998810938,0.9636111594384918,0.9968617042418788,0.6355807501050357,0.6503125713594112,9.839123749825095,True,True
gemma,22,5,18;19;20;21;22,670,290,29,0.7322524900219921,0.6534218649812352,0.8002396273158295,0.692549593428868,0.974732461355529,0.9611203093535392,0.9880229174061764,0.439264300139268,0.4448720910706471,83.07432009855216,True,False
gemma,23,6,18;19;20;21;22;23,670,290,29,0.7307180420085547,0.6479002534861881,0.8093610041002877,0.6964608030397494,0.9862514863258026,0.9748507842597688,0.9963614916933266,0.6201415396969433,0.6329114143503533,14.877167899393196,True,False
llama,12,1,12,670,290,29,-0.0020720150956197,-0.1422812665359146,0.0191032081270685,0.7616392745893674,0.4794542281453276,0.3212670902902838,0.6401534122944205,,,,False,False
llama,13,2,12;13,670,290,29,0.4116105420347613,0.2463788573279748,0.5074131078002656,0.560961028442705,0.8789465333967952,0.8165904334332057,0.9314756178760872,,,,False,False
llama,14,3,12;13;14,670,290,29,0.39342699243707,0.2075896427852411,0.5060609400044472,0.5718799750875853,0.8373261409910625,0.7544282186627662,0.9027620857176094,0.2932312378117895,0.3003372207749634,19.700067570885537,True,True
llama,15,4,12;13;14;15,670,290,29,0.9998859735515284,0.999846147506568,0.9999085949292856,0.0081289693555844,0.9988894177375852,0.9969615306896106,1.0,0.9990965536468844,0.9991872379188528,12.040183784606558,True,False
qwen,20,1,20,670,290,29,-0.0211925745248378,-0.0704029649115093,-0.0007132840102583,2.5546208502357404,0.58207095547249,0.5228855407084511,0.6692543987086361,,,,False,False
qwen,21,2,20;21,670,290,29,0.1167155311142557,-0.032836722622629,0.261912227067534,2.1993413370748782,0.6173519575054102,0.5374020415365373,0.7057197837950527,,,,False,False
qwen,22,3,20;21;22,670,290,29,0.3825779090983247,0.2284212315578409,0.5260802084464841,1.9171775382122311,0.8163158239884583,0.7591822682758279,0.8976521241470394,0.383152146874957,0.3962300123713169,-0.0851601228983187,False,False
qwen,23,4,20;21;22;23,670,290,29,0.4138946575580642,0.2846993855701566,0.5378679325778655,1.879219322225257,0.7762476227949373,0.7167907021516258,0.8601461393666494,0.4099241166164726,0.41980573044883,0.5817765164086562,False,False
qwen,24,5,20;21;22;23;24,670,290,29,0.5743321107605314,0.4392289026443647,0.6725485049097875,1.619664154118026,0.8571709620302972,0.8128337809613918,0.9074026431856168,0.5363642608344051,0.5459541121986264,6.768577604649385,True,True
qwen,25,6,20;21;22;23;24;25,670,290,29,0.8425063014203826,0.7967319088545447,0.8783272187000963,0.9859863246882477,0.9839989507508689,0.9736420736165318,0.9934980482393552,0.5852824061360138,0.6056928887734384,21.365244708427188,True,False
